#Study : Study 28-03-17 19h04m
#Date : 20170328 19:12:37
#Version : 6.3.6059.1
#TestRunDate : 20170328 19:08:01.306 (-04:00)
#Tracker : Model-Tobii T60, Freq-60Hz, Screen Size(cms)-{Width=33.7, Height=27}, Screen Res-{Width=1920, Height=1080}, Distance(Resp)-60cm 

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	TimeSignal	GazeLeftx	GazeLefty	GazeRightx	GazeRighty	PupilLeft	PupilRight	DistanceLeft	DistanceRight	CameraLeftX	CameraLeftY	CameraRightX	CameraRightY	ValidityLeft	ValidityRight	GazeX	GazeY	GazeAOI	InterpolatedGazeX	InterpolatedGazeY	GazeEventType	GazeVelocityAngle	SaccadeSeq	SaccadeStart	SaccadeDuration	FixationSeq	FixationX	FixationY	FixationStart	FixationDuration	FixationAOI	PostMarker	Annotation	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190801397		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	-1	-1		-1	-1		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190801428		30	1109	397	-1	-1	2.575653	-1	735.8284	-1	0.6599518	0.5629274	-1	-1	0	4	1109	397		1109	397		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190801456		59	1130	451	700	980	2.543564	2.806412	734.4241	737.3296	0.659321	0.5614716	0.5141112	0.5890118	0	0	915	716		915	716		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190801484		90	1065	601	706	886	2.825836	3.010529	732.8049	735.6857	0.6587864	0.5598342	0.5133157	0.5873619	0	0	886	744		886	744		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190801514		117	1103	502	676	984	2.752777	2.767349	731.6037	734.4217	0.6584184	0.5591406	0.5126962	0.5865879	0	0	890	743		890	743		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190801544		146	1006	710	630	1016	2.748672	2.279327	730.4421	733.4291	0.6583118	0.5571882	0.5123858	0.5844594	0	0	818	863		818	863		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190801575		176	872	402	788	903	2.722748	3.727188	729.4031	732.1807	0.6588694	0.555096	0.5130162	0.5818737	0	0	830	652		830	652		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190801603		206	-1	-1	574	926	-1	2.952637	-1	730.9476	-1	-1	0.5128566	0.5803133	4	0	574	926		574	926		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190801630		237	-1	-1	722	916	-1	3.059952	-1	729.7015	-1	-1	0.5128667	0.5790914	4	0	722	916		722	916		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190801659		265	760	576	654	987	2.903778	3.417145	726.774	729.0676	0.6594246	0.5514072	0.5129253	0.5777755	0	0	707	782		707	782		0																	
